Severity	Code	Description	Project	File	Line	Suppression State
Error	C1083	Cannot open source file: 'defined /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\Example /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\pyinterface\Example /Zi /nologo /W3 /WX- /O2 /Ob1 /D WIN32 /D _WINDOWS /D NDEBUG /D VTK6 /D CMAKE_INTDIR="RelWithDebInfo" /D ExampleClass_EXPORTS /D _WINDLL /D _MBCS /Gm- /EHsc /MD /GS /fp:precise /Zc:wchar_t /Zc:forScope /Zc:inline /GR /FoExampleClass.dir\RelWithDebInfo\ /FdExampleClass.dir\RelWithDebInfo\vc140.pdb /Gd /TP /errorReport:prompt C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\Example\PyNewPlugin.cpp': No such file or directory	ExampleClass	C:\pres_dev_build\core\pyinterface\Example\c1xx	1	
Error		Unrecognized option (most	_Example	C:\pres_dev_build\core\pyinterface\Example\CUSTOMBUILD	1	
Error		Unrecognized option recent	_Example	C:\pres_dev_build\core\pyinterface\Example\CUSTOMBUILD	1	
Error		Unrecognized option call	_Example	C:\pres_dev_build\core\pyinterface\Example\CUSTOMBUILD	1	
Error		Unrecognized option (most	_CC3DXML	C:\pres_dev_build\core\pyinterface\CC3DXML\CUSTOMBUILD	1	
Error		Unrecognized option recent	_CC3DXML	C:\pres_dev_build\core\pyinterface\CC3DXML\CUSTOMBUILD	1	
Error		Unrecognized option call	_CC3DXML	C:\pres_dev_build\core\pyinterface\CC3DXML\CUSTOMBUILD	1	
Error	C1083	Cannot open source file: 'defined /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\CompuCellPlayer\simthread /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\CompuCellPlayer\src /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PlayerPythonNew /IC:\prerequisites_2017\64bit\Python27\Library\include\vtk-6.3 /IC:\Miniconda64\envs\cc3d_2015\include /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\Utils /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\CompuCell3D /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\CompuCell3D\plugins /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PyPlugin /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\pyinterface\PlayerPythonNew /Zi /nologo /W3 /WX- /O2 /Ob1 /D WIN32 /D _WINDOWS /D NDEBUG /D VTK6 /D CMAKE_INTDIR="RelWithDebInfo" /D FieldExtractor_EXPORTS /D _WINDLL /D _MBCS /Gm- /EHsc /MD /GS /fp:precise /Zc:wchar_t /Zc:forScope /Zc:inline /GR /FoFieldExtractor.dir\RelWithDebInfo\ /FdFieldExtractor.dir\RelWithDebInfo\vc140.pdb /Gd /TP /errorReport:prompt C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PlayerPythonNew\FieldStorage.cpp C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PlayerPythonNew\FieldExtractorBase.cpp C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PlayerPythonNew\FieldExtractor.cpp C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PlayerPythonNew\FieldExtractorCML.cpp C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PlayerPythonNew\FieldWriter.cpp': No such file or directory	FieldExtractor	C:\pres_dev_build\core\pyinterface\PlayerPythonNew\c1xx	1	
Error	C1083	Cannot open source file: 'defined /Zi /nologo /W3 /WX- /O2 /Ob1 /D WIN32 /D _WINDOWS /D NDEBUG /D VTK6 /D CMAKE_INTDIR="RelWithDebInfo" /D _MBCS /Gm- /EHsc /MD /GS /fp:precise /Zc:wchar_t /Zc:forScope /Zc:inline /GR /FoPyPlugin.dir\RelWithDebInfo\ /FdPyPlugin.dir\RelWithDebInfo\PyPlugin.pdb /Gd /TP /errorReport:prompt C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PyPlugin\PyPlugin.cpp C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PyPlugin\PyCompuCellObjAdapter.cpp C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PyPlugin\EnergyFunctionPyWrapper.cpp C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PyPlugin\ChangeWatcherPyWrapper.cpp C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PyPlugin\StepperPyWrapper.cpp C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PyPlugin\TypeChangeWatcherPyWrapper.cpp C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PyPlugin\NeighborFinderParams.cpp C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\PyPlugin\PyAttributeAdder.cpp': No such file or directory	PyPlugin	C:\pres_dev_build\core\pyinterface\PyPlugin\c1xx	1	
Error	C1083	Cannot open source file: 'defined /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\SerializerDE /IC:\prerequisites_2017\64bit\Python27\Library\include\vtk-6.3 /IC:\Miniconda64\envs\cc3d_2015\include /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\Utils /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\CompuCell3D /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\CompuCell3D\plugins /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\SerializerDE /IC:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\pyinterface\SerializerDE /Zi /nologo /W3 /WX- /O2 /Ob1 /D WIN32 /D _WINDOWS /D NDEBUG /D VTK6 /D CMAKE_INTDIR="RelWithDebInfo" /D SerializerDE_EXPORTS /D _WINDLL /D _MBCS /Gm- /EHsc /MD /GS /fp:precise /Zc:wchar_t /Zc:forScope /Zc:inline /GR /FoSerializerDE.dir\RelWithDebInfo\ /FdSerializerDE.dir\RelWithDebInfo\vc140.pdb /Gd /TP /errorReport:prompt C:\Users\jferrari\Documents\CompuCell3D\Pressure_plug_dev\CompuCell3D\core\pyinterface\SerializerDE\SerializerDE.cpp': No such file or directory	SerializerDE	C:\pres_dev_build\core\pyinterface\SerializerDE\c1xx	1	
Error		Unrecognized option (most	_Fields	C:\pres_dev_build\core\pyinterface\Fields\CUSTOMBUILD	1	
Error		Unrecognized option recent	_Fields	C:\pres_dev_build\core\pyinterface\Fields\CUSTOMBUILD	1	
Error		Unrecognized option call	_Fields	C:\pres_dev_build\core\pyinterface\Fields\CUSTOMBUILD	1	
Error		Unrecognized option (most	_PlayerPythonNew	C:\pres_dev_build\core\pyinterface\PlayerPythonNew\CUSTOMBUILD	1	
Error		Unrecognized option recent	_PlayerPythonNew	C:\pres_dev_build\core\pyinterface\PlayerPythonNew\CUSTOMBUILD	1	
Error		Unrecognized option call	_PlayerPythonNew	C:\pres_dev_build\core\pyinterface\PlayerPythonNew\CUSTOMBUILD	1	
Error		Unrecognized option (most	_SerializerDEPy	C:\pres_dev_build\core\pyinterface\SerializerDE\CUSTOMBUILD	1	
Error		Unrecognized option recent	_SerializerDEPy	C:\pres_dev_build\core\pyinterface\SerializerDE\CUSTOMBUILD	1	
Error		Unrecognized option call	_SerializerDEPy	C:\pres_dev_build\core\pyinterface\SerializerDE\CUSTOMBUILD	1	
Error		Unrecognized option (most	_CompuCell	C:\pres_dev_build\core\pyinterface\CompuCellPython\CUSTOMBUILD	1	
Error		Unrecognized option recent	_CompuCell	C:\pres_dev_build\core\pyinterface\CompuCellPython\CUSTOMBUILD	1	
Error		Unrecognized option call	_CompuCell	C:\pres_dev_build\core\pyinterface\CompuCellPython\CUSTOMBUILD	1	
